,AAPL,AAPL,AAPL,AAPL,AAPL
,open,high,low,close,volume
2020-10-01 07:15:00-04:00,117.451,117.451,117.451,117.451,100
2020-10-01 07:30:00-04:00,117.451,117.461,117.451,117.461,300
2020-10-01 07:45:00-04:00,117.47,117.491,117.47,117.491,298
2020-10-01 08:15:00-04:00,117.45,117.45,117.45,117.45,100
2020-10-01 08:30:00-04:00,117.586,117.851,117.586,117.851,277
2020-10-01 08:45:00-04:00,117.99,117.999,117.63,117.63,1019
2020-10-01 09:00:00-04:00,117.62,117.62,117.451,117.489,1244
2020-10-01 09:15:00-04:00,117.45,117.74,117.45,117.691,3390
2020-10-01 09:30:00-04:00,117.67,117.7,116.43,116.96,347149
2020-10-01 09:45:00-04:00,117.02,117.04,116.17,116.4,210898
2020-10-01 10:00:00-04:00,116.36,116.965,116.28,116.66,184190
2020-10-01 10:15:00-04:00,116.66,116.89,116.43,116.65,106453
2020-10-01 10:30:00-04:00,116.65,117.01,116.5,116.81,132216
2020-10-01 10:45:00-04:00,116.82,116.91,116.51,116.76,121822
2020-10-01 11:00:00-04:00,116.78,116.89,116.15,116.4,128262
2020-10-01 11:15:00-04:00,116.35,116.71,116.35,116.64,97430
2020-10-01 11:30:00-04:00,116.65,116.88,116.61,116.67,96534
2020-10-01 11:45:00-04:00,116.69,116.69,116.25,116.34,84615
2020-10-01 12:00:00-04:00,116.3,116.35,115.9,116.12,112667
2020-10-01 12:15:00-04:00,116.07,116.39,115.84,116.24,98313
2020-10-01 12:30:00-04:00,116.23,116.45,116.015,116.18,79363
2020-10-01 12:45:00-04:00,116.15,116.36,116.07,116.34,261532
2020-10-01 13:00:00-04:00,116.34,116.54,116.28,116.43,48198
2020-10-01 13:15:00-04:00,116.42,116.54,116.23,116.38,79258
2020-10-01 13:30:00-04:00,116.41,116.76,116.35,116.67,65595
2020-10-01 13:45:00-04:00,116.7,116.92,116.25,116.39,90948
2020-10-01 14:00:00-04:00,116.49,116.78,115.93,116.18,152489
2020-10-01 14:15:00-04:00,116.17,116.48,115.93,116.42,103605
2020-10-01 14:30:00-04:00,116.41,116.74,116.4,116.735,117835
2020-10-01 14:45:00-04:00,116.72,116.93,116.48,116.725,103397
2020-10-01 15:00:00-04:00,116.76,116.99,116.49,116.541,103342
2020-10-01 15:15:00-04:00,116.56,116.56,116.3,116.38,115640
2020-10-01 15:30:00-04:00,116.38,116.55,116.13,116.35,129234
2020-10-01 15:45:00-04:00,116.33,117.0,116.29,116.77,255455
2020-10-01 18:15:00-04:00,116.851,116.851,116.851,116.851,100
2020-10-02 07:00:00-04:00,114.0,114.03,113.649,113.649,1391
2020-10-02 07:15:00-04:00,113.689,113.689,113.251,113.251,700
2020-10-02 07:30:00-04:00,113.279,113.279,113.099,113.099,703
2020-10-02 07:45:00-04:00,113.031,113.149,112.899,112.899,1042
2020-10-02 08:00:00-04:00,112.941,113.639,112.941,113.639,1798
2020-10-02 08:15:00-04:00,113.599,113.911,113.599,113.761,3118
2020-10-02 08:30:00-04:00,113.704,113.704,113.471,113.471,1475
2020-10-02 08:45:00-04:00,113.389,113.389,113.126,113.251,1513
2020-10-02 09:00:00-04:00,112.78,112.911,112.719,112.911,1275
2020-10-02 09:15:00-04:00,112.961,113.03,112.609,112.82,3251
2020-10-02 09:30:00-04:00,112.81,114.58,112.24,114.21,350636
2020-10-02 09:45:00-04:00,114.19,114.599,113.67,114.16,198795
2020-10-02 10:00:00-04:00,114.09,115.05,114.09,115.01,514286
2020-10-02 10:15:00-04:00,114.99,115.251,114.66,115.195,157097
2020-10-02 10:30:00-04:00,115.185,115.37,114.81,114.87,138257
2020-10-02 10:45:00-04:00,114.83,115.23,114.72,115.14,120004
2020-10-02 11:00:00-04:00,115.11,115.18,114.54,114.78,122543
2020-10-02 11:15:00-04:00,114.8,114.93,114.4,114.43,80595
2020-10-02 11:30:00-04:00,114.4,114.48,113.54,113.85,164127
2020-10-02 11:45:00-04:00,113.82,114.05,113.15,113.3,180093
2020-10-02 12:00:00-04:00,113.31,114.21,112.57,113.9,297948
2020-10-02 12:15:00-04:00,113.94,114.52,113.83,114.19,115665
2020-10-02 12:30:00-04:00,114.2,114.47,113.85,114.38,95767
2020-10-02 12:45:00-04:00,114.41,114.47,114.06,114.11,109183
2020-10-02 13:00:00-04:00,114.08,114.14,113.57,113.62,97746
2020-10-02 13:15:00-04:00,113.63,113.955,113.5,113.9,82976
2020-10-02 13:30:00-04:00,113.92,113.97,113.39,113.48,81404
2020-10-02 13:45:00-04:00,113.37,113.64,113.28,113.6,82777
2020-10-02 14:00:00-04:00,113.57,114.26,113.57,114.0,88423
2020-10-02 14:15:00-04:00,114.01,114.1,113.65,113.75,93054
2020-10-02 14:30:00-04:00,113.805,113.85,113.2,113.39,113082
2020-10-02 14:45:00-04:00,113.375,113.89,113.29,113.74,104174
2020-10-02 15:00:00-04:00,113.76,113.92,113.19,113.305,125366
2020-10-02 15:15:00-04:00,113.28,113.63,113.155,113.46,105828
2020-10-02 15:30:00-04:00,113.49,113.92,113.3,113.691,136849
2020-10-02 15:45:00-04:00,113.68,113.71,112.97,113.0,352943
2020-10-02 16:30:00-04:00,113.269,113.269,113.204,113.204,228
2020-10-02 16:45:00-04:00,113.181,113.181,113.181,113.181,100
2020-10-02 17:15:00-04:00,112.901,112.939,112.75,112.939,500
2020-10-05 07:00:00-04:00,114.43,114.43,114.43,114.43,100
2020-10-05 07:15:00-04:00,114.05,114.05,114.05,114.05,200
2020-10-05 07:45:00-04:00,114.221,114.289,114.089,114.089,500
2020-10-05 08:00:00-04:00,114.029,114.119,113.961,114.119,1200
2020-10-05 08:15:00-04:00,113.96,113.96,113.901,113.939,1002
2020-10-05 08:30:00-04:00,113.739,113.739,113.739,113.739,100
2020-10-05 08:45:00-04:00,113.921,113.999,113.921,113.961,586
2020-10-05 09:00:00-04:00,113.979,114.05,113.979,114.05,201
2020-10-05 09:15:00-04:00,113.939,113.96,113.939,113.949,400
2020-10-05 09:30:00-04:00,113.93,114.31,113.55,113.98,270746
2020-10-05 09:45:00-04:00,114.0,114.665,113.87,114.57,204441
2020-10-05 10:00:00-04:00,114.64,115.189,114.62,115.06,158694
2020-10-05 10:15:00-04:00,115.08,115.15,114.82,114.96,111550
2020-10-05 10:30:00-04:00,115.0,115.49,114.97,115.31,129744
2020-10-05 10:45:00-04:00,115.36,115.485,115.13,115.15,138197
2020-10-05 11:00:00-04:00,115.12,115.17,114.83,115.04,130063
2020-10-05 11:15:00-04:00,115.05,115.33,115.035,115.311,140705
2020-10-05 11:30:00-04:00,115.335,115.36,114.94,115.02,87783
2020-10-05 11:45:00-04:00,115.015,115.215,114.94,115.175,87791
2020-10-05 12:00:00-04:00,115.175,115.49,115.08,115.43,124000
2020-10-05 12:15:00-04:00,115.43,115.775,115.34,115.71,97764
2020-10-05 12:30:00-04:00,115.71,115.74,115.52,115.7,60469
2020-10-05 12:45:00-04:00,115.7,115.84,115.57,115.81,112690
2020-10-05 13:00:00-04:00,115.81,116.09,115.81,116.08,70583
2020-10-05 13:15:00-04:00,116.07,116.11,115.75,115.91,64635
2020-10-05 13:30:00-04:00,115.93,115.94,115.69,115.755,80287
2020-10-05 13:45:00-04:00,115.73,115.765,115.35,115.49,191500
2020-10-05 14:00:00-04:00,115.46,115.5,115.18,115.405,78803
2020-10-05 14:15:00-04:00,115.395,115.46,115.21,115.27,86738
2020-10-05 14:30:00-04:00,115.26,115.67,115.25,115.64,81893
2020-10-05 14:45:00-04:00,115.66,115.975,115.59,115.97,100646
2020-10-05 15:00:00-04:00,115.99,116.3,115.88,116.281,125424
2020-10-05 15:15:00-04:00,116.285,116.395,116.161,116.32,280672
2020-10-05 15:30:00-04:00,116.28,116.42,116.09,116.181,117926
2020-10-05 15:45:00-04:00,116.18,116.61,116.16,116.58,337624
2020-10-06 07:30:00-04:00,116.021,116.021,116.021,116.021,100
2020-10-06 07:45:00-04:00,115.93,115.93,115.799,115.839,405
2020-10-06 08:00:00-04:00,115.849,115.96,115.76,115.96,1530
2020-10-06 08:15:00-04:00,115.87,115.91,115.87,115.91,330
2020-10-06 08:30:00-04:00,116.089,116.089,115.799,115.899,1326
2020-10-06 08:45:00-04:00,115.839,115.839,115.829,115.829,200
2020-10-06 09:00:00-04:00,115.959,115.996,115.959,115.996,200
2020-10-06 09:15:00-04:00,115.851,115.989,115.78,115.78,2312
2020-10-06 09:30:00-04:00,115.72,116.119,115.04,115.2,287098
2020-10-06 09:45:00-04:00,115.18,115.21,114.55,114.92,219947
2020-10-06 10:00:00-04:00,114.9,115.44,114.87,115.369,141280
2020-10-06 10:15:00-04:00,115.34,115.59,115.0,115.2,212759
2020-10-06 10:30:00-04:00,115.21,115.35,114.57,114.82,156945
2020-10-06 10:45:00-04:00,114.8,115.24,114.8,115.0,80949
2020-10-06 11:00:00-04:00,114.98,115.12,114.3,114.47,153256
2020-10-06 11:15:00-04:00,114.475,114.48,113.67,114.04,222335
2020-10-06 11:30:00-04:00,114.04,114.3,113.88,114.2,118045
2020-10-06 11:45:00-04:00,114.18,114.19,113.49,113.84,149979
2020-10-06 12:00:00-04:00,113.8,115.21,113.8,114.91,375209
2020-10-06 12:15:00-04:00,114.92,115.05,114.68,114.9,188492
2020-10-06 12:30:00-04:00,114.92,115.049,114.69,114.94,84437
2020-10-06 12:45:00-04:00,114.96,115.439,114.95,115.27,86558
2020-10-06 13:00:00-04:00,115.285,115.62,115.25,115.45,112652
2020-10-06 13:15:00-04:00,115.441,115.61,115.13,115.21,91046
2020-10-06 13:30:00-04:00,115.21,115.27,114.83,114.95,114503
2020-10-06 13:45:00-04:00,114.955,115.025,114.79,114.98,75446
2020-10-06 14:00:00-04:00,114.98,115.4,114.92,115.38,69344
2020-10-06 14:15:00-04:00,115.33,115.6,115.27,115.44,57287
2020-10-06 14:30:00-04:00,115.46,115.95,115.44,115.94,87236
2020-10-06 14:45:00-04:00,115.95,116.01,113.14,114.05,279708
2020-10-06 15:00:00-04:00,114.01,114.01,112.26,113.651,1592084
2020-10-06 15:15:00-04:00,113.58,114.03,113.22,113.78,1143801
2020-10-06 15:30:00-04:00,113.77,114.02,113.27,113.31,687672
2020-10-06 15:45:00-04:00,113.28,113.47,112.82,113.16,417136
2020-10-06 16:00:00-04:00,113.24,113.24,113.07,113.07,599
2020-10-06 16:15:00-04:00,113.02,113.02,112.851,112.851,315
2020-10-06 16:45:00-04:00,112.69,112.69,112.35,112.354,663
2020-10-06 17:00:00-04:00,112.501,112.59,112.501,112.59,250
2020-10-06 17:15:00-04:00,112.721,112.829,112.721,112.799,300
2020-10-06 17:45:00-04:00,112.891,112.891,112.891,112.891,100
2020-10-06 18:00:00-04:00,112.729,112.729,112.729,112.729,100
2020-10-06 18:15:00-04:00,112.889,112.889,112.889,112.889,100
2020-10-06 18:30:00-04:00,112.939,112.939,112.939,112.939,100
2020-10-06 18:45:00-04:00,112.799,112.799,112.799,112.799,100
2020-10-07 07:00:00-04:00,114.08,114.439,114.07,114.299,845
2020-10-07 07:15:00-04:00,114.289,114.31,114.27,114.27,987
2020-10-07 07:45:00-04:00,114.389,114.389,114.339,114.339,200
2020-10-07 08:00:00-04:00,114.299,114.481,114.299,114.481,801
2020-10-07 08:15:00-04:00,114.609,114.609,114.449,114.449,1125
2020-10-07 08:30:00-04:00,114.489,114.499,114.43,114.499,850
2020-10-07 08:45:00-04:00,114.516,114.681,114.516,114.579,1191
2020-10-07 09:00:00-04:00,114.61,114.701,114.549,114.701,1280
2020-10-07 09:15:00-04:00,114.601,114.749,114.596,114.63,3546
2020-10-07 09:30:00-04:00,114.6,115.24,114.4,115.0,292016
2020-10-07 09:45:00-04:00,115.04,115.16,114.61,114.64,167737
2020-10-07 10:00:00-04:00,114.66,114.74,114.28,114.43,149799
2020-10-07 10:15:00-04:00,114.41,114.65,114.131,114.3,157531
2020-10-07 10:30:00-04:00,114.3,114.58,114.19,114.56,115677
2020-10-07 10:45:00-04:00,114.57,114.93,114.39,114.91,93908
2020-10-07 11:00:00-04:00,114.92,115.04,114.78,114.885,111761
2020-10-07 11:15:00-04:00,114.91,115.11,114.82,115.05,88860
2020-10-07 11:30:00-04:00,115.08,115.15,114.73,114.81,105990
2020-10-07 11:45:00-04:00,114.81,114.9,114.67,114.68,87752
2020-10-07 12:00:00-04:00,114.7,114.935,114.63,114.91,65361
