,AAPL,AAPL,AAPL,AAPL,AAPL
,open,high,low,close,volume
2020-10-26 07:15:00-04:00,113.939,113.939,113.939,113.939,100
2020-10-26 07:45:00-04:00,113.739,113.791,113.721,113.791,400
2020-10-26 08:00:00-04:00,113.799,113.799,113.659,113.659,580
2020-10-26 08:15:00-04:00,113.689,113.761,113.689,113.739,1120
2020-10-26 08:30:00-04:00,113.899,113.899,113.769,113.769,250
2020-10-26 08:45:00-04:00,113.771,113.801,113.639,113.649,1155
2020-10-26 09:00:00-04:00,113.661,113.729,113.661,113.729,600
2020-10-26 09:15:00-04:00,113.889,114.099,113.889,113.92,2610
2020-10-26 09:30:00-04:00,114.01,115.63,113.72,115.13,270339
2020-10-26 09:45:00-04:00,115.2,115.86,114.89,115.7,162256
2020-10-26 10:00:00-04:00,115.69,116.07,115.51,115.89,127207
2020-10-26 10:15:00-04:00,115.875,116.54,115.62,115.62,144652
2020-10-26 10:30:00-04:00,115.615,115.62,115.22,115.495,105800
2020-10-26 10:45:00-04:00,115.46,115.5,114.9,114.949,78217
2020-10-26 11:00:00-04:00,114.885,114.965,114.46,114.935,84384
2020-10-26 11:15:00-04:00,114.92,114.92,114.3,114.33,124854
2020-10-26 11:30:00-04:00,114.27,114.39,113.9,114.09,120125
2020-10-26 11:45:00-04:00,114.17,114.6,114.1,114.19,78070
2020-10-26 12:00:00-04:00,114.16,114.565,114.02,114.435,64557
2020-10-26 12:15:00-04:00,114.415,114.68,114.279,114.49,57872
2020-10-26 12:30:00-04:00,114.42,114.435,114.015,114.18,67936
2020-10-26 12:45:00-04:00,114.16,114.16,113.86,113.93,83682
2020-10-26 13:00:00-04:00,113.9,114.12,113.76,113.97,100419
2020-10-26 13:15:00-04:00,113.96,114.0,113.19,113.19,172794
2020-10-26 13:30:00-04:00,113.2,113.36,112.89,113.3,162226
2020-10-26 13:45:00-04:00,113.28,113.879,113.23,113.83,99698
2020-10-26 14:00:00-04:00,113.84,113.979,113.68,113.74,142624
2020-10-26 14:15:00-04:00,113.75,114.24,113.69,114.15,115640
2020-10-26 14:30:00-04:00,114.17,114.38,114.05,114.21,104976
2020-10-26 14:45:00-04:00,114.21,114.3,113.88,114.16,90378
2020-10-26 15:00:00-04:00,114.18,114.35,113.9,114.05,85454
2020-10-26 15:15:00-04:00,114.04,114.71,114.04,114.71,116222
2020-10-26 15:30:00-04:00,114.709,115.0,114.561,114.84,196019
2020-10-26 15:45:00-04:00,114.86,115.2,114.28,115.06,401728
2020-10-26 16:00:00-04:00,115.16,115.16,115.08,115.08,200
2020-10-27 07:45:00-04:00,115.701,115.799,115.701,115.799,360
2020-10-27 08:15:00-04:00,115.711,115.711,115.531,115.531,300
2020-10-27 08:30:00-04:00,115.459,115.499,115.459,115.499,200
2020-10-27 08:45:00-04:00,115.499,115.499,115.499,115.499,100
2020-10-27 09:00:00-04:00,115.339,115.621,115.339,115.561,567
